Eigenvalue_Index,Algebraic_Eigenvalue
1,-0.000325014314573492
2,5533359.5824849
3,5533359.60866157
4,5630302.66778255
5,5630302.67672969
6,5840644.10543266
7,5840644.33696218
8,6124143.96590287
9,6124144.15362542
10,7190926.27853885
11,7190926.30465119
12,7322416.12397217
13,7322416.14845527
14,7762387.2420301
15,7762387.82416088
16,8248741.5391168
17,8248742.55276119
18,8454304.97043925
19,8457911.03956175
20,8465514.40136491
21,8478992.48383928
22,8500024.83788525
23,8528970.5226978
24,8562973.09559772
25,8593519.34394201
26,8738669.69430983
27,8738725.2564031
28,8879696.26098512
29,8879703.35538053
30,8929100.28258838
31,8981462.16261488
32,9004859.75759626
33,9009082.04297807
34,9016506.10877963
35,9027977.08789211
36,9044901.60476857
37,9054519.57333454
38,9060821.46500611
39,9068627.43903907
40,9078156.46307743
41,9098199.16673047
42,9108758.08359885
43,9108758.33151376
44,9126262.21062339
45,9138669.40617097
46,9138727.68998712
47,9139243.03863786
48,9141237.23205921
49,9145997.73069464
50,9154550.75318933
51,9166240.87631614
52,9177345.29808529
53,9201509.79902448
54,9235784.86294097
55,9235784.97545839
56,9373594.11516955
57,9597017.00013305
58,9788716.74416435
59,9823468.06313339
60,9878686.1860883
61,9884854.92068672
62,9978717.61771413
63,10114132.4303582
64,10162270.238311
65,10163969.4806321
66,10170353.4417663
67,10181795.8646459
68,10199173.851731
69,10216969.2689546
70,10222603.6044294
71,10250183.0418269
72,10276664.6400266
73,10294799.728186
74,10301103.2801054
75,10302792.8725846
76,10552274.1849041
77,10586882.2221036
78,10736636.0572028
79,10737473.5712658
80,10825215.6937445
81,10933302.5537637
82,10941940.3228367
83,10943799.4073845
84,11025559.0820409
85,11026725.784492
86,11108421.4989356
87,11157516.2687412
88,11164007.023829
89,11196270.2310023
90,11200806.7352641
91,11237396.3147213
92,11262257.5477189
93,11290305.4611956
94,11295361.5311301
95,11300392.9952344
96,11304212.1659047
97,11331449.0482797
98,11355732.7854943
99,11368244.2917473
100,11370692.9306829
101,11381519.7052946
102,11382702.5012297
103,11385846.0513085
104,11397476.0406771
105,11400021.6296715
106,11414001.3414758
107,11424170.5699443
108,11431619.1398422
109,11439052.7123493
110,11525409.6803543
111,11530699.547213
112,11556366.2942862
113,11619760.5857459
114,11667917.5012669
115,11684697.4736838
116,11704132.0254048
117,11786474.3053126
118,11831261.9115314
119,11877135.3966839
120,11939171.4965519
121,11941219.0225428
122,11974907.0759687
123,12455153.0296567
124,12599080.7787407
125,12875802.8006123
126,13082352.2856854
127,13187772.8010158
128,13465178.3912074
129,13472018.1015763
130,13718205.2625573
131,13728079.3838822
132,13875201.7289129
133,13920340.5181254
134,13934755.2353042
135,13934798.7181093
136,13951441.1209852
137,13983610.3145637
138,13995724.2601378
139,14075546.8411002
140,14211462.9090144
141,14223907.5844135
142,14294968.349693
143,14338773.4578602
144,14393225.4018492
145,14425029.5093275
146,14507146.3603051
147,14520007.8401394
148,14530163.9872988
149,14556809.4716008
150,14654433.3263241
151,14658744.6267608
152,14701333.1868633
153,14746415.2033987
154,14822511.9556752
155,14858802.8728858
156,14870487.6097949
157,14883904.0151659
158,15003733.5401493
159,15039303.87068
160,15046815.4580551
161,15054501.9417244
162,15093260.7822415
163,15112790.6815124
164,15329550.2794688
165,15483988.2821969
166,15716143.6367366
167,15808235.1534357
168,15923903.9600541
169,15978960.2329016
170,16150662.4704077
171,16222397.0044368
172,16409896.6069292
173,16414293.7372444
174,16543285.2945245
175,16614574.3234802
176,16628670.6457701
177,16644433.5031146
178,16756453.3696303
179,16779515.8298592
180,16803687.414052
181,16867795.2445934
182,16883888.0208729
183,16911243.7093805
184,16928069.6326008
185,17002343.4575161
186,17164487.9369014
187,17363384.191288
188,17533959.7723936
189,17533964.9908334
190,17552532.964991
191,17552533.0038059
192,17577449.156248
193,17781433.958447
194,17939824.7435118
195,18679725.0232319
196,18702279.5552245
197,18720083.6920321
198,18739850.7120461
199,18762735.6568843
200,18778882.9937865
201,18786592.8037899
202,18789320.4336877
203,18822843.8058601
204,18822847.8809668
205,19107365.4233462
206,19261089.4993523
207,19261461.4594242
208,19796757.6940501
209,19796761.2672455
210,20030507.7867818
211,20051110.5003554
212,20119620.8142165
213,20280709.214842
214,20528202.6182463
215,20556352.033031
216,20556856.1126275
217,20858674.0317956
218,20908817.6857653
219,21141815.7881961
220,21199436.4738876
221,21385811.8141904
222,21390753.6495615
223,21594046.9464861
224,21594061.4380416
225,21788435.5375238
226,21844481.2912237
227,21934977.9394975
228,21999339.6378985
229,22064545.6427019
230,22146634.5138081
231,22200644.9719952
232,22238651.8447862
233,22371386.6283796
234,22419915.2146546
235,22665851.5326068
236,22702576.1255986
237,22772703.6323084
238,22878239.3983435
239,22897024.5088533
240,22965309.7861259
241,23030315.7291602
242,23596404.2364886
243,23795780.5589713
244,23850925.0758183
245,23936805.1679255
246,24287789.1111498
247,24401055.3973041
248,25185985.4836614
249,25344109.9146984
250,25604587.7448537
251,26014409.4844243
252,26014733.1681989
253,26134454.5425498
254,26134456.9400472
255,26171524.4568258
256,26234230.0692899
257,26358204.4719761
258,26568889.1604117
259,26650468.8525091
260,26854173.0930224
261,26975385.263062
262,27004174.239912
263,27200663.0616353
264,27224801.0849292
265,27297762.0023759
266,27468010.5920096
267,27517005.2799546
268,27785632.2771304
269,27812569.4954803
270,27882988.3829859
271,28037794.7588692
272,28097872.0351729
273,28214099.6935542
274,28441675.9274503
275,28465573.8083428
276,28467846.2715474
277,28804761.777833
278,28960380.6596666
279,29009703.9361932
280,29251573.265711
281,29313888.7989431
282,29318069.047207
283,29424096.0481185
284,29482296.5921069
285,29572881.4630585
286,29661774.9766745
287,29706104.4027079
288,29770806.3652992
289,29772339.9511323
290,29809507.9390493
291,29813019.6656939
292,29879886.1891653
293,30285263.5919877
294,30333364.6338915
