Eigenvalue_Index,Algebraic_Eigenvalue
1,-0.000325199159162694
2,6783923.78595851
3,6783923.7940716
4,6875431.32038561
5,6875431.342375
6,7077540.36521276
7,7077540.61043218
8,7342292.79649034
9,7342293.00408778
10,8299050.90952742
11,8299050.93035951
12,8443453.71273359
13,8443453.73750765
14,8851945.56883702
15,8851945.9455567
16,9348488.58565406
17,9348489.07507178
18,10042588.0905627
19,10042680.8299173
20,10059183.4651702
21,10060181.3328302
22,10065016.6225361
23,10065933.6641764
24,10077454.3860293
25,10094425.0676704
26,10115805.6715579
27,10136255.9355219
28,10519102.3800032
29,10520187.8050338
30,10647258.8244688
31,10647274.3551011
32,10647650.9851553
33,10744519.0416207
34,10884763.0003703
35,11051535.1629223
36,11061748.4763016
37,11064701.4147832
38,11079590.225544
39,11106421.7648709
40,11143892.3130079
41,11150433.4949045
42,11150433.5293468
43,11192613.0027777
44,11222702.0771748
45,11227718.2626645
46,11236885.9500636
47,11249268.0518699
48,11251457.3756295
49,11272918.4013348
50,11283520.1404783
51,11301819.4380759
52,11301998.3508521
53,11335281.2409781
54,11364396.6339901
55,11440650.7868517
56,11441072.7150521
57,11540092.0280656
58,11731327.8895767
59,11772561.3558603
60,11821734.2811529
61,11843165.3305593
62,11944622.8965592
63,12030189.2353902
64,12030429.3327911
65,12032952.868336
66,12040430.867331
67,12056111.6968528
68,12071077.7269583
69,12083037.8105287
70,12092308.1343915
71,12122954.0188011
72,12174455.1533232
73,12193759.2598563
74,12230380.1042029
75,12276179.210878
76,12304297.4976703
77,12354972.2036359
78,12466788.1047057
79,12692312.9683666
80,12726252.4645477
81,13024941.7979095
82,13109947.590661
83,13264097.2529677
84,13289631.6482416
85,13301529.5941235
86,13340414.7847629
87,13388932.8358128
88,13486073.9136907
89,13531850.1673854
90,13531890.1713461
91,13540136.0935108
92,13573504.5821599
93,13581108.7228199
94,13598288.642265
95,13614536.7867933
96,13621110.6456141
97,13639715.7190007
98,13641074.0881116
99,13660977.3312092
100,13665322.5091913
101,13669222.7470566
102,13696100.8079962
103,13716875.4423568
104,13741085.0339152
105,13742757.7413721
106,13761195.4778529
107,13781595.8099502
108,13793572.500521
109,13796770.9343696
110,13808538.5485874
111,13813658.206184
112,13900891.337885
113,13907124.3393347
114,13912300.3044128
115,13976775.7059609
116,14016783.9848225
117,14029072.4805996
118,14078364.1342099
119,14115338.5765175
120,14170266.9583229
121,14191804.2225653
122,14200616.9065927
123,14214604.8654412
124,14241704.2167037
125,14241704.9610542
126,14339390.3213184
127,14795014.9905692
128,14979525.4039224
129,15495855.3582763
130,15602579.79391
131,16034138.2743555
132,16047337.4298275
133,16274194.1826927
134,16279790.9421694
135,16308127.1682679
136,16342640.850182
137,16349745.7051034
138,16354190.9339304
139,16514149.4611083
140,16592545.7584853
141,16638303.2040905
142,16662969.3479454
143,16666134.5120843
144,17054126.8879657
145,17106783.5573498
146,17123851.9874904
147,17185065.8568198
148,17259984.8912944
149,17382115.7014373
150,17431995.7465552
151,17478696.2120594
152,17484536.4635877
153,17543476.6990683
154,17557674.1164029
155,17566044.6088851
156,17578421.2184355
157,17617495.4374891
158,17623312.1883206
159,17648630.3409171
160,17679893.1718952
161,17679903.7262331
162,17680115.5200433
163,17748526.8444859
164,17842464.1338759
165,17928313.0490829
166,17972452.7421173
167,17972608.0787203
168,17975325.8863205
169,17995833.6660764
170,18013087.2772179
171,18083271.145657
172,18208479.2656962
173,18252472.2667078
174,18260817.9817602
175,18481122.2761023
176,18492538.2100721
177,18510603.5819123
178,18540832.7264568
179,18540841.9316534
180,18692793.5793701
181,18738681.5595059
182,18752454.6584966
183,18789854.0505769
184,18796978.3064422
185,18806954.1321972
186,18837712.2069044
187,18840635.0098462
188,18855005.4095854
189,18916249.5940451
190,19019996.4208094
191,19021626.2512999
192,19116053.0796093
193,19164186.7912785
194,19307159.9617066
195,19316591.8250678
196,19364647.0576617
197,19408776.246086
198,19545347.3347182
199,19665809.6788567
200,19667992.7471656
201,19734687.0635181
202,19874039.9404641
203,19874064.5461698
204,20052383.5687587
205,20096839.5807556
206,20096852.3923831
207,20372752.2941664
208,20600419.9991112
209,20810533.012916
210,20910684.4470413
211,20953796.952082
212,21008237.5659578
213,21165480.6618922
214,21254336.1055989
215,21254338.4358693
216,21353934.7170025
217,21469778.8755499
218,21499716.3925386
219,21584088.6065396
220,21602051.0277227
221,21813309.0874019
222,21892349.2017097
223,22024657.481047
224,22208602.1634904
225,22406810.2503911
226,22649580.9763375
227,22695674.0925951
228,22736477.7245198
229,22813692.0314594
230,22938916.4707587
231,23072092.2205137
232,23122757.7719484
233,23364062.0007774
234,23607176.3988909
235,23699590.0423587
236,23729466.0635661
237,24556192.6644636
238,24786560.2101248
239,24786600.9186345
240,25648983.8626739
241,25753281.8928033
242,26109383.9727996
243,26113099.6786011
244,26239603.5799218
245,26461447.7550136
246,26519477.0726892
247,26526374.6195016
248,26557121.0048053
249,26557187.8593697
250,26649577.9705829
251,26819673.9000801
252,26827654.7326529
