Eigenvalue_Index,Algebraic_Eigenvalue
1,-0.000323686654393258
2,5611502.04179982
3,5611502.06703312
4,5708202.00880761
5,5708202.01862828
6,5917965.36816278
7,5917965.59987886
8,6200446.49430632
9,6200446.68327853
10,7261504.41363114
11,7261504.43962312
12,7393917.27287508
13,7393917.29742007
14,7831074.19994554
15,7831074.76122433
16,8317988.47608598
17,8317989.41455362
18,8557969.57093464
19,8561053.90896421
20,8567900.03159435
21,8580503.30466677
22,8600665.37788428
23,8628862.34825581
24,8662338.77846399
25,8692631.66416963
26,8836250.12767676
27,8836308.48976148
28,8998596.23113274
29,8998603.27731309
30,9039607.98454089
31,9092779.78588768
32,9131941.03839141
33,9136514.09801069
34,9144558.39703627
35,9156967.00341409
36,9175181.89703956
37,9182198.46179745
38,9200508.58255046
39,9231783.20869988
40,9235555.99973595
41,9235556.17236333
42,9261232.76375217
43,9266946.16591058
44,9267797.05802993
45,9268058.18232417
46,9269138.37686495
47,9269667.139904
48,9271973.22769306
49,9277834.47851299
50,9287669.02003177
51,9300650.3565324
52,9312780.92614301
53,9314792.92319193
54,9442983.14864964
55,9442983.26778229
56,9486014.21153941
57,9709033.98305253
58,9917636.90967762
59,9952983.20791382
60,9988192.98173261
61,10015380.7174365
62,10110707.5294304
63,10248110.9769867
64,10282002.1097727
65,10283269.8329192
66,10289459.3856854
67,10300541.2093479
68,10317788.0914057
69,10318710.8754044
70,10341695.2188283
71,10370860.8428287
72,10400562.1124545
73,10423366.0918494
74,10434438.5305576
75,10439365.7154946
76,10672864.4725669
77,10691802.076743
78,10778908.7052347
79,10779307.2189406
80,10966285.6321685
81,11015330.7085623
82,11081131.6002711
83,11089028.7189001
84,11170466.5529093
85,11173672.7373133
86,11260116.2525437
87,11263511.8140252
88,11310834.7396116
89,11337979.2588707
90,11342580.325849
91,11373962.7193031
92,11400641.8531822
93,11433182.7027783
94,11435727.7632802
95,11441046.9290803
96,11450418.8508274
97,11478836.4406469
98,11499438.9961846
99,11508196.7886351
100,11519648.8421657
101,11522534.5811243
102,11525004.8969031
103,11529631.3427357
104,11539992.2055433
105,11540629.5771714
106,11551822.2740023
107,11568962.345385
108,11574558.5254762
109,11589088.2205019
110,11675240.6903844
111,11676605.6761928
112,11699040.41414
113,11773026.3716277
114,11812342.6262987
115,11820723.8952771
116,11859300.142969
117,11929760.4879913
118,11970489.6838805
119,12018872.4322838
120,12052347.6862527
121,12079447.8631872
122,12114164.0974375
123,12566900.7326164
124,12729364.7055477
125,12975683.3822045
126,13231125.7204389
127,13285918.0693798
128,13591906.9837124
129,13629639.1657563
130,13862818.8783326
131,13902847.9565784
132,13963539.3008422
133,13963571.9719825
134,14036246.8290687
135,14100627.5743773
136,14125105.0270466
137,14173146.8937478
138,14212485.1396702
139,14258129.7043122
140,14350728.0565836
141,14393911.9323543
142,14433671.9364547
143,14520633.7473112
144,14553480.2216673
145,14589739.1420619
146,14691513.6117374
147,14693490.3237867
148,14699973.9483751
149,14715464.6528738
150,14815291.3251313
151,14828909.2111038
152,14871912.0484709
153,14903930.6705719
154,14980906.0905514
155,15025120.061432
156,15037234.560939
157,15051772.94252
158,15176496.0706365
159,15200098.7209768
160,15203380.6657505
161,15209909.4579493
162,15284045.802014
163,15297590.1359879
164,15464216.8193005
165,15619715.5858443
166,15855536.6146745
167,15942119.1212838
168,16060391.1852072
169,16123528.5777396
170,16291788.8615238
171,16372974.6259287
172,16557006.4385892
173,16571767.9820366
174,16708238.5901399
175,16782023.5890271
176,16786528.249252
177,16821506.959205
178,16859143.2065159
179,16910532.8763812
180,16938661.7654517
181,16999144.9001741
182,17032031.3024973
183,17079702.4631798
184,17099495.1429705
185,17131728.2361977
186,17314548.0837107
187,17542499.311496
188,17546620.8202737
189,17546625.8241968
190,17562278.6144556
191,17562278.703888
192,17796704.2375347
193,18049683.5347519
194,18254753.2264652
195,18684452.700044
196,18713548.0497844
197,18739678.4791061
198,18758785.1554707
199,18774097.8749235
200,18784940.7206158
201,18790393.9645377
202,18792314.5020566
203,18891131.4304531
204,18891131.9319978
205,19286339.2922929
206,19286548.2300379
207,19539816.0268601
208,19808215.6153121
209,19808232.5727484
210,20084114.547037
211,20173079.0239064
212,20334833.7955933
213,20431884.2269279
214,20565595.6083059
215,20566071.9090191
216,20582509.3031634
217,20908711.868212
218,20980859.4506075
219,21226578.0747603
220,21233602.6833015
221,21396746.0366322
222,21400299.7236236
223,21789664.3859
224,21822965.3339203
225,21822980.1969607
226,21846803.6689767
227,21939361.2324371
228,22072416.0516723
229,22213414.3397824
230,22214592.45564
231,22264838.2829926
232,22408005.4216415
233,22413685.601642
234,22521417.6701002
235,22668505.0294945
236,22705520.3954111
237,22776205.113364
238,22885318.3379661
239,22954731.441881
240,23040528.5219909
241,23049664.7130043
242,23684563.285541
243,23858759.6197689
244,23882190.8115705
245,24414795.0323924
246,24431258.8070334
247,24472463.8481391
248,25283822.9491624
249,25508218.5109263
250,25674283.1306147
251,26024485.3098412
252,26148605.4451122
253,26148608.5198251
254,26189924.7091464
255,26254917.4691831
256,26264372.5955167
257,26591819.5828403
258,26690060.4424986
259,26713630.8211745
260,26870155.0992256
261,26987509.401763
262,27012869.432997
263,27218662.7983765
264,27235162.060052
265,27335425.5719284
266,27516964.1988155
267,27526083.052943
268,27796702.2521738
269,27900562.6262331
270,27901347.3574707
271,28055972.939075
272,28163313.0895383
273,28451855.3038548
274,28481470.2103893
275,28483933.6017517
276,28574640.7699237
277,28828269.1571125
278,29018018.7853452
279,29159812.4100072
280,29321327.0342169
281,29367956.1175653
282,29387247.89562
283,29430821.4325929
284,29505195.4588794
285,29667351.9305084
286,29673534.5712818
287,29720647.7722093
288,29777154.5394248
289,29792993.4019163
290,29813865.4287897
291,29817114.0980792
292,30069875.545806
293,30289420.2593798
294,30744791.6948274
295,30904783.6196482
296,31150204.7627141
297,31545534.1869485
298,31751534.1750526
299,32131259.9388211
300,32339378.24125
301,32442777.9407429
302,32480961.8451886
303,32543613.4783036
304,32649537.9848207
305,32798238.7061626
306,32900037.6490756
307,32945751.5782008
308,33189512.4031608
309,33460793.3239214
310,33489929.6720466
311,33650102.8643082
312,34290760.5949971
313,34583475.6378836
314,34610792.6496434
315,34837689.9079638
316,35110938.7015505
317,35487812.2322453
318,35518930.5816814
319,35792917.0404673
320,35827757.9557473
321,36091068.259127
322,36121378.155608
323,36210299.5626331
324,37656708.6134934
325,37887042.9766207
326,37923899.997194
327,38070479.2229812
328,38087846.1517845
329,38288571.2584753
330,38726049.5798897
331,38781558.1552416
332,39344155.7725278
333,39779537.1956297
334,39786426.9372921
335,40382549.6446278
336,40422744.7130239
337,40508166.5633071
338,40824730.1531509
339,40873592.6938674
340,40969559.8524375
341,41012908.5946364
342,41297403.242213
343,41530287.6696671
344,41775656.1479301
345,42429734.6501361
346,42433421.953201
347,42765349.2982928
348,42785490.8062775
349,43688999.2367164
350,-43858412.2352671
351,-43858412.2612809
352,-43858458.7078409
353,-43858458.7338602
354,43923670.3950291
355,43980238.2782069
356,44073686.1613763
357,44402851.6420663
358,44783890.1186334
359,44879107.4731116
360,45706188.0562427
361,46648393.328945
362,46831458.4020706
363,-46857655.8935161
364,-46857664.2356894
365,-46857808.8524041
366,-46857817.1944034
367,46993496.3616951
368,47359315.5863373
369,47905374.8124486
370,48621091.8440361
371,49039442.4461032
372,49200699.1923833
373,49301903.6969566
374,49547264.0534023
375,49672022.6528655
376,49790551.2634476
377,49866821.3530155
378,50984267.0686667
379,51010818.9568349
380,51438442.2749037
381,51597357.4141189
382,52181672.4705128
383,52679836.5077468
384,52699129.5684758
385,53031572.3127156
386,53182561.6109484
387,53324221.656598
388,53707552.6679027
389,53825057.9834171
390,54514389.2534836
391,54567939.6030079
392,54651430.6183804
393,54678936.8314476
394,54921327.3730112
395,55080516.4122972
396,55186512.9597341
397,55526164.9987703
398,55604479.7370223
399,56652848.8308149
400,57012918.8361575
401,57275322.3657786
402,57412718.4846265
403,57541480.3658027
404,57611597.0015332
405,57656737.7545469
406,57719930.9712918
407,57944867.7790204
408,58109523.257399
409,58146637.9136794
410,58294247.0657073
411,58814431.7312065
412,58822717.716792
413,58937735.630127
414,59003842.0436642
415,59194026.5030643
416,59338173.0303164
417,59382612.8268252
418,59443648.0296659
419,59491110.5260198
420,59545554.7060836
421,59775333.2229682
422,60301862.124786
423,60347310.2364678
424,61677560.822711
425,62618688.7140028
426,63516005.8135927
427,64205589.4468804
428,64856921.5298326
429,64956356.9175705
430,65632247.9987686
431,65868372.1173463
432,66330765.0876759
433,66697941.5882286
434,67874534.6599702
435,68044682.8148202
436,68901557.4216636
437,70185864.9235516
438,70376601.9940254
439,72246678.3993487
440,72950247.8444027
441,73430087.8465066
442,74503745.3484949
443,75619809.5672551
444,76240300.2026893
445,78440121.8853442
446,78675185.0018201
447,-78942960.975699
448,-78943064.0927476
449,79083770.4179213
450,-79988028.4203741
451,-79988032.1430667
452,80176017.5897514
453,-80428183.1302331
454,-80428280.1203216
455,81046331.7701222
456,81249818.1286986
457,81800573.8290868
458,82379798.5350001
459,-82721921.1190147
460,-82722008.1852181
461,-82776639.7616013
462,-82776643.1172008
463,83696921.0818747
464,84889115.909189
465,-85583324.1723628
466,-85583398.4057277
467,85913294.5383347
468,-86530601.6117769
469,-86530604.6336084
470,87585161.2048916
471,88563447.1867591
472,-88724433.5667108
473,-88724493.7729927
474,89456980.0046487
475,-90496331.0390082
476,-90496333.8695868
477,91575173.8628825
478,-91839760.3754853
479,-91839807.6505731
480,93286882.809368
481,-94124057.3636383
482,-94124060.1308463
483,-94632769.6384928
484,-94632807.153167
485,94736231.0189564
486,94754142.6982224
487,95244865.9474565
488,96077677.5367022
489,96715885.8693538
490,-96840115.5935222
491,-96840147.3997928
492,-97069174.2481578
493,-97069176.9958551
494,97420694.1458365
495,-98253878.0609156
496,-98253907.5001117
497,-99178284.319798
498,-99178286.95247
499,-100478890.174966
500,-100478892.4815
501,100488236.903715
502,-101130423.960891
503,-101130425.821302
504,102042706.270007
505,102326817.904194
506,103502072.374429
507,103770490.129404
508,103827131.453667
509,109088126.132185
510,111640421.041795
511,112530146.835832
512,113332912.581374
513,115252600.688024
514,120075524.571543
515,120222591.733938
