Eigenvalue_Index,Algebraic_Eigenvalue
1,-0.000325888511739679
2,5702429.28883385
3,5702429.31307181
4,5798835.94012822
5,5798835.95078625
6,6007919.84627371
7,6007920.07836895
8,6289124.28082181
9,6289124.47116039
10,7342952.5483233
11,7342952.57403195
12,7476360.93788828
13,7476360.9624314
14,7910666.63421562
15,7910667.17100582
16,8398196.03572722
17,8398196.89929219
18,8677959.11367815
19,8680446.63821064
20,8686424.7287561
21,8698016.80062421
22,8717161.20814086
23,8744470.17315979
24,8777311.73490968
25,8807292.20553539
26,8948398.14702217
27,8948459.95796045
28,9136480.13778047
29,9136487.32020716
30,9167191.7680152
31,9220782.75944886
32,9280120.80984737
33,9285105.85600114
34,9293877.99739386
35,9307384.94256629
36,9311109.80395298
37,9327107.17130359
38,9354298.01242987
39,9383318.42769028
40,9383318.54852739
41,9387551.26231721
42,9418292.66148874
43,9418611.12306658
44,9418940.4156547
45,9420662.68151871
46,9424444.97212437
47,9431560.78849688
48,9439778.14285635
49,9442873.63011121
50,9457367.2030578
51,9470707.53498863
52,9505426.61864735
53,9507312.02414862
54,9615187.83872279
55,9680442.66577432
56,9680442.79243404
57,9836670.53351385
58,10065934.1665588
59,10101983.7081803
60,10111496.0028537
61,10165580.7039838
62,10262648.1871586
63,10402411.549891
64,10418843.2016513
65,10419731.1456947
66,10425794.5658621
67,10431141.9948353
68,10436466.4797453
69,10453575.3890496
70,10478018.9898561
71,10508924.6492919
72,10542125.7871119
73,10570133.4743475
74,10586545.7642537
75,10596732.3090565
76,10768226.1204116
77,10818929.660972
78,10819126.3807873
79,10852653.8335489
80,11104236.6037019
81,11129151.8285567
82,11252478.9000117
83,11259459.8878706
84,11337269.0645783
85,11345289.4487395
86,11390743.4142631
87,11439147.37461
88,11481792.9114693
89,11502434.2480529
90,11511710.8416666
91,11531150.5440279
92,11563130.4102201
93,11598318.321762
94,11603130.4958828
95,11605870.0628102
96,11618693.563092
97,11648375.5553459
98,11667304.0531168
99,11672428.9262563
100,11680994.6549205
101,11687162.645723
102,11699607.7197448
103,11700777.0774492
104,11704582.9766708
105,11708084.8114705
106,11716440.2231794
107,11738453.0016037
108,11743109.1818348
109,11761576.6650353
110,11844086.9662117
111,11850411.556311
112,11866812.1938489
113,11948948.8931564
114,11978967.7220446
115,11980910.6749851
116,12037532.1959997
117,12096909.8536803
118,12131885.9740979
119,12182859.9028873
120,12184153.8184969
121,12242983.6345588
122,12276485.5335767
123,12694226.4553463
124,12881767.8809526
125,13084481.2848275
126,13395384.9324599
127,13404162.5059076
128,13731077.6038805
129,13819645.7033467
130,13994357.5817185
131,13994381.364832
132,14029748.8976585
133,14103501.5429036
134,14219192.6046825
135,14306117.47463
136,14317601.4307231
137,14374827.052345
138,14436731.9287888
139,14464111.7156965
140,14497315.3655288
141,14596279.0916753
142,14621019.3012426
143,14716940.525467
144,14757984.8172516
145,14779797.1865304
146,14870299.9993959
147,14894268.4711586
148,14900442.5264392
149,14919632.0423908
150,15003488.8925442
151,15040640.4237127
152,15068798.4385425
153,15100231.3746791
154,15170185.8302714
155,15217331.1866035
156,15231622.9480496
157,15253071.1070316
158,15378408.2841239
159,15383988.1656133
160,15393981.9068198
161,15394644.5512391
162,15515436.5050654
163,15523116.4745599
164,15620896.9163986
165,15777880.4143619
166,16017812.4645335
167,16097449.8155926
168,16218609.7268164
169,16291471.925154
170,16455496.4354232
171,16547619.091699
172,16727931.859309
173,16754319.1451514
174,16899579.6034793
175,16960555.1563091
176,16971811.4976514
177,16986265.3310181
178,17027433.5171402
179,17027523.395294
180,17124217.7608785
181,17124886.7702754
182,17223661.3270162
183,17272228.342898
184,17276367.7363143
185,17299726.2880205
186,17477045.291382
187,17559860.6580529
188,17559865.4475302
189,17574419.9415226
190,17574421.0129096
191,17735958.5936289
192,18031447.3318273
193,18335383.2741344
194,18597219.174412
195,18688676.646689
196,18719766.8679375
197,18748787.7029702
198,18768832.3666047
199,18782052.9676358
200,18790440.489954
201,18794576.2738859
202,18795883.1963787
203,18988816.4964087
204,18988816.767901
205,19323745.6196213
206,19325144.5446624
207,19820497.547145
208,19820519.8584469
209,20038064.6611539
210,20144645.6574209
211,20233796.5673237
212,20396423.3014073
213,20576724.3629948
214,20577027.294705
215,20644042.8201686
216,20766413.2684539
217,20964504.3269864
218,21040105.9943656
219,21270287.5903025
220,21403789.9162743
221,21416042.922839
222,21431533.3883461
223,21791099.3880928
224,21849442.4961699
225,21944287.6470514
226,22081198.4191082
227,22086119.1717934
228,22086134.5621762
229,22229416.6075193
230,22294097.6039149
231,22301443.7821038
232,22463252.8871299
233,22646349.4688312
234,22668857.8307828
