Eigenvalue_Index,Algebraic_Eigenvalue
1,-0.000325438412650314
2,5128004.96232781
3,5128004.99032336
4,5226057.66723919
5,5226057.67353914
6,5439009.08808948
7,5439009.31893524
8,5727800.0392237
9,5727800.22500587
10,6814779.04284518
11,6814779.07003792
12,6943523.55142294
13,6943523.57722568
14,7404523.36531469
15,7404524.11153449
16,7888053.12791621
17,7888054.82182321
18,7909935.46716429
19,7916350.91859721
20,7927976.9011383
21,7945960.05630768
22,7946110.58163629
23,7946110.75502014
24,7971263.74347543
25,8003658.53086583
26,8039926.3098317
27,8071526.83203987
28,8133113.2642478
29,8133113.33155602
30,8212930.90644638
31,8212966.22651858
32,8266304.76342627
33,8266324.37225187
34,8339001.33334523
35,8347508.21705219
36,8350139.45969979
37,8354707.49632735
38,8361753.45606467
39,8372374.35622693
40,8387955.44182233
41,8389618.62881038
42,8408495.08154937
43,8428915.64330828
44,8452400.88489177
45,8452414.71192716
46,8463513.68034559
47,8463997.24950348
48,8467055.65059722
49,8467964.77898792
50,8470963.89314235
51,8471634.68148718
52,8472937.99761064
53,8475232.95800545
54,8477744.53076748
55,8598740.45539826
56,8765653.96178823
57,8984594.94994839
58,9089909.44080906
59,9121998.0995709
60,9178949.83204523
61,9266307.4987502
62,9266479.2738207
63,9393288.95015189
64,9537102.50988077
65,9542184.99083815
66,9551421.74801257
67,9564751.3474227
68,9570558.1533425
69,9582425.59901665
70,9584727.04844229
71,9601528.33337665
72,9606909.95149143
73,9618531.45808291
74,9619116.82853472
75,9622535.36624821
76,9806990.58178363
77,10033909.60059
78,10078312.2119138
79,10168078.6431084
80,10180744.9169007
81,10228583.607935
82,10255934.6250907
83,10257223.2274114
84,10283322.6379242
85,10373010.2002512
86,10411788.7439885
87,10448945.8569985
88,10497146.5941201
89,10498248.9985452
90,10537999.4820735
91,10545914.3739
92,10549680.1641885
93,10564779.4351362
94,10568599.9567488
95,10575419.8155311
96,10596110.6657372
97,10596406.5348298
98,10601983.9795675
99,10636044.8497138
100,10654174.7627367
101,10657236.5707403
102,10663340.440349
103,10672964.4821039
104,10674484.5665803
105,10678357.6888148
106,10680459.3737093
107,10728561.0278849
108,10781471.632733
109,10794268.2143007
110,10815795.5525148
111,10837487.6902007
112,10898030.3962205
113,10927686.4804143
114,10953949.0903938
115,10953959.0014931
116,10983268.1110654
117,11049200.9663284
118,11107354.1811884
119,11145849.6994515
120,11214038.9255324
121,11254192.2903384
122,11385700.7234825
123,11864508.0615675
124,11930303.0732752
125,12285742.5005618
126,12303999.642821
127,12587800.2192201
128,12592198.1292122
129,12759998.3313079
130,12781771.2320625
131,12791469.6747523
132,12842024.757221
133,12901693.2485083
134,12928976.5934569
135,12946334.5641916
136,12966852.6899275
137,13050407.1762622
138,13152282.5266088
139,13228988.5172266
140,13505876.5012511
141,13506405.9802775
142,13558926.6942155
143,13616988.530533
144,13618155.5351126
145,13667740.8905288
146,13719961.8916618
147,13740994.3771813
148,13741228.59651
149,13750005.4570451
150,13768113.3558584
151,13863992.1074659
152,13882491.6748134
153,13998762.9997268
154,14010187.0489059
155,14021853.5255337
156,14044093.1082236
157,14103958.6447614
158,14171169.2502987
159,14180787.5398422
160,14249082.5643074
161,14253914.3701123
162,14349428.3856979
163,14354016.6972096
164,14637857.7656817
165,14792556.5973193
166,15003919.6677881
167,15114550.8582736
168,15215585.6786485
169,15234025.0616727
170,15419024.8524597
171,15441314.7425428
172,15595131.6960514
173,15649007.1247034
174,15685756.8341446
175,15723542.9083541
176,15728863.5153266
177,15837525.8385604
178,15960095.9682257
179,16023343.6290652
180,16046630.4372446
181,16049060.8847733
182,16093798.9440698
183,16098771.8867486
184,16121867.0322202
185,16126949.1544045
186,16128749.4429919
187,16149385.7264726
188,16153877.3292452
189,16423957.7324274
190,16424043.1806446
191,16883705.8428386
192,17430136.4817204
193,17430142.0686141
194,17509506.3275367
195,17509506.4760439
196,17860869.507065
197,18284904.8274644
198,18284906.3689798
199,18663528.9326663
200,18696768.6374795
201,18728580.3965784
202,18750624.2342418
203,18763728.7270384
204,18770938.756552
205,18774663.2605359
206,18776363.2851901
207,19183560.2064883
208,19183578.8087884
209,19371923.5800337
210,19698680.6306371
211,19706171.5081114
212,19758840.4933268
213,19849569.4921497
214,20002043.1743881
215,20240609.9756202
216,20379669.5394505
217,20379683.3400867
218,20515603.7119187
219,20515743.5259385
220,20579475.7818165
221,20797697.7044688
222,20985014.0094655
223,21104613.6136735
224,21291336.7915764
225,21358782.823198
226,21673018.5063764
227,21782552.6378834
228,21833388.5759867
229,21910298.3423985
230,21913870.8723179
231,22024517.7214257
232,22025046.133398
233,22087317.7093252
234,22087929.9742147
235,22203052.4867188
236,22417800.1469957
237,22615247.0702984
238,22658249.4301736
239,22694258.4315707
240,22759006.7366768
241,22860949.3244951
242,22916022.5529272
243,23405466.1594609
244,23421802.8040607
245,23445250.1609421
246,23509654.7500995
247,23792845.6900959
248,24260588.7745408
249,24404154.3373521
250,24698309.2299272
251,25308880.0891022
252,25404378.3945505
253,25455497.832691
254,25970076.7034317
255,26071346.0751438
256,26071386.6471509
257,26160320.3997219
258,26189451.0617971
259,26222210.3404069
260,26503042.3714928
261,26690797.0407633
262,26916453.2617939
263,26936458.6262409
264,27069139.0883147
265,27114987.8065751
266,27168425.5819009
267,27240969.2464885
268,27302086.6897149
269,27445376.1860768
