Eigenvalue_Index,Algebraic_Eigenvalue
1,-0.000325542377749385
2,5167368.50043285
3,5167368.52793184
4,5265323.0409339
5,5265323.04923979
6,5478075.97092368
7,5478076.20245063
8,5766352.82026856
9,5766353.00425975
10,6852621.01248479
11,6852621.0382553
12,6981320.35140171
13,6981320.37532751
14,7439448.53891508
15,7439449.26440955
16,7923261.55285069
17,7923263.15225878
18,7963308.23841867
19,7969445.50800208
20,7980679.3849735
21,7998237.40261644
22,8023159.483401
23,8055269.55702304
24,8055640.40459905
25,8055640.63103307
26,8091362.94819561
27,8122873.73730065
28,8241646.31192728
29,8241646.38912299
30,8266396.75013498
31,8266435.35453553
32,8324363.40098733
33,8324379.38593976
34,8397916.46255826
35,8411175.15519687
36,8413936.21102073
37,8418742.99413608
38,8426173.19032147
39,8437368.45528758
40,8448850.78510887
41,8453728.60693532
42,8475172.10431795
43,8496392.23376769
44,8516069.41661153
45,8516074.37920758
46,8529489.43584369
47,8529880.42952959
48,8533007.11297328
49,8533179.58865519
50,8534941.63439487
51,8535866.46778645
52,8536581.70004195
53,8539448.75779157
54,8545393.03686708
55,8659056.62076916
56,8826683.19761124
57,9046394.11796578
58,9160437.57505973
59,9192752.13128296
60,9250072.20385855
61,9328806.59707099
62,9338117.85245505
63,9465625.96875422
64,9598372.96638943
65,9603120.55586417
66,9611933.30638003
67,9625103.04680593
68,9642627.08745814
69,9643832.7634663
70,9655710.93749522
71,9662349.85894362
72,9673922.50071058
73,9681306.20439972
74,9682399.31823152
75,9687301.99074483
76,9881357.37448056
77,10096024.9723528
78,10152379.4379559
79,10242407.236559
80,10254563.0110013
81,10298340.0659637
82,10322737.6948405
83,10330784.9034768
84,10355412.3882959
85,10442748.9437489
86,10484085.338082
87,10523733.0033284
88,10563716.446101
89,10567130.9007819
90,10611082.635656
91,10618433.7889399
92,10620921.9491425
93,10639296.9256675
94,10640004.279076
95,10645001.2912456
96,10662906.8303099
97,10666857.3687101
98,10673631.2860213
99,10677413.1831433
100,10725588.0886341
101,10732937.742233
102,10733181.2831524
103,10741494.21011
104,10743180.0481342
105,10749421.4498706
106,10752151.8084852
107,10800107.7177772
108,10830605.0546426
109,10864743.4797207
110,10894751.8122252
111,10906037.0458394
112,10974584.7856788
113,10974603.7296917
114,10975134.5990978
115,10998873.7477566
116,11051214.5046103
117,11120327.2959019
118,11177954.0416729
119,11216547.1111617
120,11284242.0398999
121,11324028.2959543
122,11438065.1210263
123,11921990.7344015
124,11994922.6670297
125,12347191.1256855
126,12380521.2858348
127,12657521.5865408
128,12675367.4007144
129,12869243.4894785
130,12877041.827195
131,12884324.3863086
132,12955646.027447
133,12999863.6547197
134,13029500.0906764
135,13037156.7480228
136,13059537.2350435
137,13155209.5168281
138,13261525.9565312
139,13343284.3722807
140,13606622.3595408
141,13608202.9124817
142,13623395.8314922
143,13685156.0475435
144,13700349.7507214
145,13739075.8353009
146,13763966.8227911
147,13764162.9283721
148,13793328.4598106
149,13826849.2130519
150,13851593.4289599
151,13940215.6006906
152,13958139.6449598
153,14082072.9629046
154,14089770.2767958
155,14100499.6595728
156,14108500.6788418
157,14175006.5733567
158,14252371.8245305
159,14255293.8690442
160,14325554.9273624
161,14332715.056611
162,14407996.716461
163,14412440.934997
164,14704404.9015574
165,14858467.091054
166,15071960.5732761
167,15181858.7459432
168,15284353.3223605
169,15305784.0962443
170,15489984.8856451
171,15517046.6545634
172,15674768.9741953
173,15722686.6516568
174,15769111.156572
175,15809871.8905792
176,15817401.3068488
177,15914012.3539869
178,16039212.3449724
179,16104799.0013931
180,16129861.0742016
181,16133590.398142
182,16193781.7199212
183,16211437.7489519
184,16227810.5321098
185,16243167.3393925
186,16245205.0001308
187,16258409.8267479
188,16302577.7647686
189,16524463.4710643
190,16524588.6391012
191,17096961.0768404
192,17444666.716136
193,17444672.3130984
194,17513298.3732934
195,17513298.510983
196,18074098.9380858
197,18329667.4666645
198,18329669.7488258
199,18665607.577732
200,18698859.062648
201,18730646.2202444
202,18752598.2069658
203,18765538.8271138
204,18772544.6984998
205,18776067.4227443
206,18777607.0307897
207,19188840.0343185
208,19188873.1147641
209,19580875.2447835
210,19715264.293546
211,19719429.2830552
212,19781963.2858337
213,19873996.793216
214,20028510.1906993
215,20268880.2959831
216,20499271.8538668
217,20499285.6461928
