Eigenvalue_Index,Algebraic_Eigenvalue
1,-5.07219691731918e+15
2,-5.07219691731917e+15
3,-4.88794534681462e+15
4,-4.8879453468146e+15
5,-4.59697760500354e+15
6,-4.59697760500353e+15
7,-4.22203566280577e+15
8,-4.22203566280577e+15
9,-3.97317782046366e+15
10,-3.97317782046365e+15
11,-3.85759251826622e+15
12,-3.85759251826621e+15
13,-3.79221664565341e+15
14,-3.7922166456534e+15
15,-3.67565459046178e+15
16,-3.67565459046178e+15
17,-3.44251793059068e+15
18,-3.44251793059068e+15
19,-3.34056353011113e+15
20,-3.34056353011112e+15
21,-3.17765557002427e+15
22,-3.17765557002427e+15
23,-2.90324825112889e+15
24,-2.90324825112889e+15
25,-2.90161530311637e+15
26,-2.90161530311636e+15
27,-2.64226269208477e+15
28,-2.64226269208477e+15
29,-2.51023929355899e+15
30,-2.51023929355899e+15
31,-2.41628448527427e+15
32,-2.41628448527427e+15
33,-2.24322528022507e+15
34,-2.24322528022507e+15
35,-2.20745092574927e+15
36,-2.20745092574926e+15
37,-2.13536581165716e+15
38,-2.13536581165716e+15
39,-1.6842692591377e+15
40,-1.6842692591377e+15
41,-1.67961476015671e+15
42,-1.6796147601567e+15
43,-1.081137153501e+15
44,-1.081137153501e+15
45,-1.05146459628607e+15
46,-1.05146459628607e+15
47,-1.05027187617855e+15
48,-1.05027187617855e+15
49,-1.0483425962683e+15
50,-1.0483425962683e+15
51,-1.04577474952964e+15
52,-1.04577474952964e+15
53,-1.04272275285274e+15
54,-1.04272275285274e+15
55,-1.03940618955059e+15
56,-1.03940618955059e+15
57,-1.03610633508416e+15
58,-1.03610633508416e+15
59,-1.03313952924429e+15
60,-1.03313952924429e+15
61,-1.03080468482252e+15
62,-1.03080468482252e+15
63,-1.0293247355045e+15
64,-1.0293247355045e+15
65,-1.0151911391026e+15
66,-1.0151911391026e+15
67,-942118157152362
68,-942118157152361
69,-878059141417136
70,-878059141417136
71,-872171987504637
72,-872171987504636
73,-872166011606157
74,-872166011606157
75,-853583874103696
76,-853583874103694
77,-836153501947269
78,-836153501947267
79,-815084189011256
80,-815084189011256
81,-808667996551376
82,-808667996551374
83,-782248163500381
84,-782248163500380
85,-765823080870039
86,-765823080870038
87,-762304568498910
88,-762304568498909
89,-761538419841164
90,-761538419841163
91,-760218352547412
92,-760218352547410
93,-758295511705553
94,-758295511705552
95,-755736745204346
96,-755736745204345
97,-753990033343482
98,-753990033343480
99,-752781099405690
100,-752781099405690
101,-748049035896557
102,-748049035896556
103,-744653301157214
104,-744653301157213
105,-741824203938032
106,-741824203938032
107,-714769529533052
108,-714769529533051
109,-710820832189444
110,-710820832189443
111,-710039499705170
112,-710039499705170
113,-682367958678657
114,-682367958678652
115,-652674084975301
116,-652674084975301
117,-642202459316581
118,-642202459316581
119,-599083433586458
120,-599083433586456
121,-587339496106397
122,-587339496106396
123,-587326859622382
124,-587326859622380
125,-568742903527853
126,-568742903527851
127,-554798162530066
128,-554798162530066
129,-525201144623274
130,-525201144623273
131,-510897832996432
132,-510897832996431
133,-500654574206322
134,-500654574206322
135,-500526483879356
136,-500526483879354
137,-484708924945352
138,-484708924945351
139,-464594094563318
140,-464594094563317
141,-447161996842578
142,-447161996842577
143,-443740522489406
144,-443740522489406
145,-442203514169596
146,-442203514169595
147,-439699378190511
148,-439699378190511
149,-419630423563337
150,-419630423563336
151,-403528099339443
152,-403528099339442
153,-399021877687940
154,-399021877687940
155,-382431641343899
156,-382431641343899
157,-372030532463399
158,-372030532463399
159,-371636289316952
160,-371636289316952
161,-370370389560008
162,-370370389560008
163,-370370389560008
164,-370370389560008
165,-370370389560007
166,-370370389560007
167,-370370389560006
168,-370370389560006
169,-370370389560005
170,-370370389560005
171,-370370389560004
172,-370370389560003
173,-370370389560003
174,-370370389560002
175,-370370389560002
176,-370370389560001
177,-370370389560001
178,-370370389560000
179,-370370389560000
180,-370370389560000
181,-369737542366737
182,-369737542366736
183,-366491120376628
184,-366491120376628
185,-362739668016771
186,-362739668016771
187,-358762919156918
188,-358762919156917
189,-354764760825728
190,-354764760825727
191,-351012546820743
192,-351012546820742
193,-347887702942281
194,-347887702942281
195,-345805180341982
196,-345805180341982
197,-325640113630811
198,-325640113630810
199,-325639078810995
200,-325639078810993
201,-271468863918220
202,-271468863918219
203,-271442541390233
204,-271442541390233
205,-215966096279115
206,-215966096279114
207,-215966091540933
208,-215966091540933
209,-198554189442827
210,-198554189442826
211,-198554181774538
212,-198554181774538
213,-2112711220771.33
214,-2112711219679.47
215,-2091785378043.42
216,-2091785377051.06
217,-2058802958195.22
218,-2058802957347.26
219,-2015311949750.13
220,-2015311949067.6
221,-1963104619838.08
222,-1963104619319.97
223,-1905309416636.59
224,-1905309416265.79
225,-1847304264998.6
226,-1847304264748.78
227,-1796684157328.71
228,-1796684157168.97
229,-1761822638857.19
230,-1761822638753.58
231,-963369386905.736
232,-963369386565.168
233,-963320315093.764
234,-963320314756.108
235,-902297124229.905
236,-902297122671.803
237,-856274810124.991
238,-856274808593.1
239,-797243988538.322
240,-797243987074.145
241,-739082743556.592
242,-739082742225.821
243,-690088520679.038
244,-690088519542.923
245,-653284819173.006
246,-653284818259.297
247,-651311450777.735
248,-651311450775.414
249,-646478669521.316
250,-646478669512.607
251,-638479243532.829
252,-638479243502.216
253,-628254584319.082
254,-628254583608.961
255,-627591906748.334
256,-627591906682.123
257,-614486903976.225
258,-614486903860.58
259,-612943193270.409
260,-612943192712.695
261,-605060642337.397
262,-605060641873.38
263,-600339631004.157
264,-600339630829.641
265,-586795235025.202
266,-586795234791.47
267,-575670018564.018
268,-575670018281.704
269,-568452655960.759
270,-568452655648.205
271,-440191465407.573
272,-440191465358.088
273,-434588065019.816
274,-434588064991.211
275,-427446228014.216
276,-427446228009.464
277,-420458908815.378
278,-420458908768.78
279,-418922651433.526
280,-418922649263.839
281,-418922545328.934
282,-418922543158.676
283,-414470944299.817
284,-414470944210.74
285,-410769648418.436
286,-410769644385.408
287,-409583847227.592
288,-409583847106.431
289,-409562842861.773
290,-409562839350.544
291,-406873844972.718
292,-406873842130.811
293,-405704282893.675
294,-405704282756.997
295,-403202897910.211
