Eigenvalue_Index,Algebraic_Eigenvalue
1,-2.53609842276339e+15
2,-2.53609842276338e+15
3,-2.44397263869642e+15
4,-2.44397263869642e+15
5,-2.29848876964764e+15
6,-2.29848876964763e+15
7,-2.11101780090659e+15
8,-2.11101780090658e+15
9,-1.98658888295122e+15
10,-1.98658888295122e+15
11,-1.92879623315795e+15
12,-1.92879623315795e+15
13,-1.89610829496492e+15
14,-1.89610829496491e+15
15,-1.83782727131964e+15
16,-1.83782727131964e+15
17,-1.72125894404634e+15
18,-1.72125894404634e+15
19,-1.67028173983596e+15
20,-1.67028173983596e+15
21,-1.58882776681318e+15
22,-1.58882776681318e+15
23,-1.45162411055271e+15
24,-1.45162411055271e+15
25,-1.45080762867703e+15
26,-1.45080762867703e+15
27,-1.32113133407574e+15
28,-1.32113133407574e+15
29,-1.25511962555547e+15
30,-1.25511962555547e+15
31,-1.20814223328508e+15
32,-1.20814223328508e+15
33,-1.12161263269565e+15
34,-1.12161263269564e+15
35,-1.1037254421195e+15
36,-1.10372544211949e+15
37,-1.06768289954298e+15
38,-1.06768289954297e+15
39,-842134616091358
40,-842134616091355
41,-839807366361386
42,-839807366361385
43,-540568570357071
44,-540568570357071
45,-525732290086385
46,-525732290086384
47,-525135930038041
48,-525135930038041
49,-524171290092072
50,-524171290092071
51,-522887366735652
52,-522887366735652
53,-521361368413519
54,-521361368413518
55,-519703086781174
56,-519703086781174
57,-518053159567236
58,-518053159567235
59,-516569756664602
60,-516569756664601
61,-515402334466470
62,-515402334466470
63,-514662359814846
64,-514662359814845
65,-507595562127621
66,-507595562127620
67,-471059070368496
68,-471059070368495
69,-439029563863275
70,-439029563863275
71,-436085985113887
72,-436085985113886
73,-436082997046412
74,-436082997046411
75,-426791930144569
76,-426791930144569
77,-418076742314864
78,-418076742314863
79,-407542087498446
80,-407542087498446
81,-404333989125358
82,-404333989125358
83,-391124072524758
84,-391124072524758
85,-382911533294560
86,-382911533294560
87,-381152265292830
88,-381152265292830
89,-380769190841440
90,-380769190841440
91,-380109156982898
92,-380109156982897
93,-379147736242998
94,-379147736242998
95,-377868352547778
96,-377868352547778
97,-376995007230553
98,-376995007230552
99,-376390528915122
100,-376390528915122
101,-374024497892583
102,-374024497892582
103,-372326629428153
104,-372326629428152
105,-370912080338148
106,-370912080338148
107,-357384756740189
108,-357384756740188
109,-355410406433722
110,-355410406433722
111,-355019742550949
112,-355019742550949
113,-341183969518481
114,-341183969518480
115,-326337035004131
116,-326337035004130
117,-321101221205246
118,-321101221205246
119,-299541709112322
120,-299541709112322
121,-293669739477268
122,-293669739477268
123,-293663421234259
124,-293663421234259
125,-284371443009785
126,-284371443009785
127,-277399073388168
128,-277399073388168
129,-262600564274562
130,-262600564274561
131,-255448908316605
132,-255448908316604
133,-250327279007129
134,-250327279007129
135,-250263232856043
136,-250263232856042
137,-242354454508101
138,-242354454508100
139,-232297039479888
140,-232297039479887
141,-223580986754905
142,-223580986754905
143,-221870247999586
144,-221870247999586
145,-221101749460126
146,-221101749460126
147,-219849678119204
148,-219849678119204
149,-209815204330564
150,-209815204330564
151,-201764039986708
152,-201764039986707
153,-199510931545943
154,-199510931545943
155,-191215813492283
156,-191215813492283
157,-186015256646251
158,-186015256646251
159,-185818137552798
160,-185818137552798
161,-185185187520001
162,-185185187520001
163,-185185187520001
164,-185185187520001
165,-185185187520001
166,-185185187520001
167,-185185187520001
168,-185185187520001
169,-185185187520001
170,-185185187520001
171,-185185187520001
172,-185185187520000
173,-185185187520000
174,-185185187520000
175,-185185187520000
176,-185185187520000
177,-185185187520000
178,-185185187520000
179,-185185187520000
180,-185185187520000
181,-184868761553923
182,-184868761553923
183,-183245550494793
184,-183245550494793
185,-181369824239238
186,-181369824239238
187,-179381449728059
188,-179381449728059
189,-177382370479230
190,-177382370479230
191,-175506263395379
192,-175506263395379
193,-173943841383551
194,-173943841383551
195,-172902580030931
196,-172902580030931
197,-162820052647685
198,-162820052647685
199,-162819535237645
200,-162819535237644
201,-135734426580356
202,-135734426580356
203,-135721265312054
204,-135721265312053
205,-107983044282978
206,-107983044282978
207,-107983041913888
208,-107983041913887
209,-99277089302481.3
210,-99277089302481.1
211,-99277085468337.9
212,-99277085468337.6
213,-1056316736876.96
214,-1056316734693.37
215,-1045855446193.91
216,-1045855444209.29
217,-1029366652477.45
218,-1029366650781.62
219,-1007624040960.83
220,-1007624039595.84
221,-981523450379.446
222,-981523449343.269
223,-952628838363.807
224,-952628837622.244
225,-923628928902.793
226,-923628928403.17
227,-898320999823.574
228,-898320999504.154
229,-880891622264.136
230,-880891622056.923
231,-481670233560.995
232,-481670232880.002
233,-481645731317.537
234,-481645730642.29
235,-451122497054.941
236,-451122493940.095
237,-428111476761.357
238,-428111473698.932
239,-398596321654.843
240,-398596318727.792
241,-369516242708.896
242,-369516240048.53
243,-345020036042.102
244,-345020033770.828
245,-326619426755.146
246,-326619424928.447
247,-325640572275.465
248,-325640572270.823
249,-323223929242.701
250,-323223929225.287
251,-319223833648.07
252,-319223833586.859
253,-314105721202.903
254,-314105719783.151
255,-313779703379.133
256,-313779703246.741
257,-307226723201.274
258,-307226722970.039
259,-306451318165.511
260,-306451317050.406
261,-302510935233.893
262,-302510934306.087
263,-300152657384.816
264,-300152657035.871
265,-293380137007.721
266,-293380136540.383
267,-287817340554.961
268,-287817339990.498
269,-284208583753.05
270,-284208583128.137
271,-220086666408.974
272,-220086666309.976
273,-217284954357.571
274,-217284954300.372
275,-213714007300.07
276,-213714007290.589
277,-210220289201.246
278,-210220289108.115
279,-209447410022.939
280,-209447405685.693
281,-209447356263.514
282,-209447351925.075
283,-207226201249.178
284,-207226201071.096
285,-205369457086.056
286,-205369449024.987
287,-204782495697.677
288,-204782495455.477
289,-204766593049.707
290,-204766586030.913
291,-203422730795.188
292,-203422725113.769
293,-202842587404.168
294,-202842587130.995
295,-201592036394.896
296,-201592036090.574
297,-201125410856.455
298,-201125406399.562
299,-201043501290.599
300,-201043500953.779
301,-200602656424.772
302,-200602656107.924
303,-198033286392.635
304,-198033282870.535
305,-194715366482.904
306,-194715363627.522
307,-191883154937.591
308,-191883152539.023
309,-190054323183.732
310,-190054321061.194
311,-152397178367.614
312,-152397175137.733
313,-152397168386.36
314,-152397165156.47
315,-145841976235.004
316,-145841975939.324
317,-145841947863.621
318,-145841947567.937
319,-22572677456.2903
320,-22572677456.2776
321,-21899444920.791
322,-21899444920.7567
323,-20835159589.0824
324,-20835159589.0637
325,-19460678487.0339
326,-19460678487.0141
327,-17877894108.4058
328,-17877894108.3832
329,-16199156461.7818
330,-16199156461.7677
331,-14535093352.8635
332,-14535093352.8482
333,-12983580707.5446
334,-12983580707.5163
335,-11633218062.2823
336,-11633218062.2523
337,-9789403322.28945
338,-9789403322.26706
339,-9578534575.43647
340,-9578534575.40186
341,-8411818143.85507
342,-8411818143.83921
343,-7773945738.81521
344,-7773945738.78649
345,-7240509901.92578
346,-7240509901.87857
347,-6804399946.19178
348,-6804399946.10557
349,-6455896324.81982
350,-6455896324.70799
351,-6188929047.79094
352,-6188929047.67082
353,-6000171555.87204
354,-6000171555.78944
355,-5887692824.17892
356,-5887692824.13502
357,-5443515765.59234
358,-5443515759.5071
359,-5440182031.52575
360,-5440182026.54757
361,-5434849898.19824
362,-5434849894.66212
363,-5427866767.78467
364,-5427866765.62461
365,-5419731952.44703
366,-5419731951.33216
367,-5411087186.02424
368,-5411087185.5334
369,-5402675127.03848
370,-5402675126.83874
371,-5395256285.09005
372,-5395256285.00195
373,-5389496842.31407
374,-5389496842.27428
375,-5385872151.60572
376,-5385872151.59768
377,-4742309381.80141
378,-4742309381.65165
379,-4742309377.96224
380,-4742309377.81623
381,-2528263586.46963
382,-2528263586.30715
383,-2511976387.64887
384,-2511976387.43285
385,-2479462551.90178
386,-2479462551.65888
387,-2456443072.39156
388,-2456443070.13661
389,-2426735996.88755
390,-2426735996.64902
391,-2421101472.1013
392,-2421101469.74232
393,-2365921427.01131
394,-2365921424.19247
395,-2353109100.49869
396,-2353109100.27509
397,-2296100319.40838
398,-2296100315.50986
399,-2262416784.90813
400,-2262416784.69721
401,-2218221148.32538
402,-2218221142.60184
403,-2163274142.77593
404,-2163274142.5659
405,-2139696774.93423
406,-2139696766.74683
407,-2069425351.01668
408,-2069425350.79843
409,-2068164147.27755
410,-2068164136.33516
411,-2010822218.63193
412,-2010822205.14912
413,-1999710015.66944
414,-1999710015.43841
415,-1973692431.32029
416,-1973692416.04316
417,-1171460652.56553
418,-1171460651.48053
419,-1171456827.6028
420,-1171456826.51767
421,-1096525919.73772
422,-1096525919.08637
423,-1096525913.17423
424,-1096525912.52304
425,-0.000325623088578197
426,4983407.61324139
427,4983407.6405805
428,5081806.13331356
429,5081806.14035047
430,5295285.11293094
431,5295285.3410722
432,5585994.30888536
433,5585994.49045609
434,6670420.71712826
435,6670420.73892985
436,6800932.23326577
437,6800932.25630471
438,7275795.49020131
439,7275796.32175139
440,7545186.0101572
441,7545186.14969857
442,7712911.48484289
443,7720351.92363561
444,7733403.69126829
445,7734225.41501935
446,7734225.48048599
447,7752891.8870035
448,7758203.80064159
449,7758205.91934241
450,7779480.81301878
451,7812759.85828821
452,7849542.07168524
453,7881488.70265083
454,8007144.021609
455,8007166.88069382
456,8061113.73942271
457,8061152.69545422
458,8113989.86186474
459,8116243.76496376
460,8118720.58104493
461,8120084.81509178
462,8125868.34109976
463,8134456.21501986
464,8147161.96406173
465,8164289.32239746
466,8168122.29772473
467,8181580.47797669
468,8217527.48790919
469,8218107.5447402
470,8220760.88910294
471,8221901.67897841
472,8225702.19941029
473,8226526.09013659
474,8229824.38682018
475,8231063.29129211
476,8233982.90930793
477,8235620.07655294
478,8251869.32282941
479,8372972.04819987
480,8537021.6758057
481,8752714.44797039
482,8824537.01330651
483,8855886.58708077
484,8911646.44292354
485,8997518.39793336
486,9030967.16560951
487,9122075.84022764
488,9296264.96900496
489,9310892.12947717
490,9314189.27436855
491,9321881.17032884
492,9327515.42934198
493,9343970.535063
494,9354070.52216228
495,9362253.84595649
496,9377758.70862663
497,9380039.3539115
498,9382731.20794489
499,9388531.03940016
500,9529011.58429788
501,9792126.12543798
502,9801947.53945023
503,9894926.77662295
504,9909849.64984995
505,9961533.70604783
506,9981217.28328352
507,10003139.1315863
508,10018508.2327102
509,10112805.1651652
510,10147764.8844446
511,10166145.785036
512,10235659.2054793
513,10245068.4046781
514,10269535.0052609
515,10274212.4704759
516,10285032.6518961
517,10289244.7482508
518,10293880.5456972
519,10322912.2024535
520,10333199.1347263
521,10341677.6370231
522,10355508.4366399
523,10372229.8199566
524,10391135.4147831
525,10407000.5488151
526,10417968.2220282
527,10418091.8242596
528,10422631.7439023
529,10425190.1596122
530,10444608.744376
531,10511265.8319767
532,10524433.7680277
533,10537491.3032624
534,10578662.7680005
535,10587527.9054161
536,10666134.2800143
537,10667588.4690814
538,10733728.1814634
539,10788862.9152076
540,10847125.268599
541,10886782.7006978
542,10900273.5406935
543,10900273.9282257
544,10956587.3325217
545,10997971.5355583
546,11195962.6299755
547,11653267.7591086
548,11692955.4000753
549,12019706.7095968
550,12052446.0024757
551,12260127.8940198
552,12286307.6251277
553,12341465.3596771
554,12377508.5480875
555,12424575.7460502
556,12495389.9418842
557,12509524.3145317
558,12551916.2361511
559,12640681.0014512
560,12647227.2569405
561,12657346.175069
562,12743453.8251495
563,12804372.7888052
564,13122217.3235702
565,13122999.3515355
566,13318440.653011
567,13323088.8686888
568,13371458.2469125
569,13397053.1474069
570,13450395.9926644
571,13467655.9863564
572,13472326.1240806
573,13589886.1645278
574,13598800.9000922
575,13646323.6378088
576,13646781.2153231
577,13697244.2426889
578,13723678.6723096
579,13728363.9378443
580,13810362.25044
581,13840941.5458441
582,13886544.6356458
583,13912340.8605093
584,13970466.6417563
585,13972678.8197155
586,14149383.4981614
587,14152374.9115471
588,14394944.1050967
589,14553640.1021258
590,14757151.8661888
591,14867468.2759522
592,14963125.1844725
593,14972283.8307954
594,15158653.818957
595,15163739.9877895
596,15302606.5570701
597,15378838.2307647
598,15379170.0215362
599,15405027.9347582
600,15407104.7586868
601,15451592.6137944
602,15470369.5120831
603,15557244.0070835
604,15570295.8199654
605,15670329.9698535
606,15715303.8794268
607,15724906.1464677
608,15740480.0640756
609,15742364.1472845
610,15816948.0483218
611,15854199.6411143
612,15856081.2043859
613,16083215.2844684
614,16083342.5199208
615,16107799.6236417
616,17085710.347715
617,17362857.8439343
618,17362863.2797279
619,17496087.917003
620,17496088.0016346
621,18130117.5218353
622,18130118.2014086
623,18595386.373435
624,18655521.7160411
625,18689002.5196725
626,18721142.7874373
627,18743656.6781927
628,18757405.9513801
629,18765355.4567563
630,18769777.0740702
631,18771991.6239923
632,19166545.2086584
633,19166555.9693763
634,19610429.9253745
635,19640363.0255044
636,19689312.2760279
637,19769499.8994533
638,19908879.0442637
639,19937893.4364031
640,19937907.3543349
641,20137248.2644097
642,20315890.342606
643,20472309.70927
644,20502966.6130449
645,20502986.7239296
646,20891847.419423
647,21024990.2424439
648,21245308.7266367
649,21269447.4910077
650,21346000.7611625
651,21780605.2014643
652,21829642.8025727
653,21854657.5860687
654,21906472.4896811
655,21926395.0807397
656,22005497.9148017
657,22024834.8844976
658,22029622.4341292
659,22169919.6644294
660,22249913.8463841
661,22527734.4404919
662,22620704.2754505
663,22655723.1727118
664,22690878.8742594
665,22750320.2361494
666,22800412.7753916
667,22847991.2860879
668,23257013.7337942
669,23311751.1433968
670,23375772.4368341
671,23767270.6663254
672,24001757.0087013
673,24291854.1068807
674,24491041.4650363
675,24525783.1692761
676,25034277.9450828
677,25225340.8935076
678,25936741.0802937
679,25954885.7594199
680,26051709.521732
681,26051771.4903037
682,26064238.9955115
683,26147346.3772886
684,26276073.3067966
685,26477449.2488328
686,26544347.8454615
687,26874280.8853782
688,26895823.6392347
689,26968913.8719694
690,27081336.1386565
691,27146252.4559572
692,27267339.8710378
693,27370903.7371355
694,27453075.6536356
695,27505209.1014499
696,27543596.8604849
697,27658255.9200109
698,27670722.1665142
699,27739039.745948
700,28340657.3905843
701,28357683.3041884
702,28358566.8997646
703,28360149.880734
704,28383083.232959
705,28414111.1103506
706,28603608.821722
707,28725447.6497633
708,28871563.3973012
709,28883059.9029818
710,28945983.0574432
711,29090498.9237801
712,29295800.2890459
713,29308923.4038162
714,29375328.3897711
715,29446030.0223448
716,29525140.7859861
717,29622510.2866047
718,29645349.5598297
719,29727670.2234789
720,29738683.675357
721,29779017.35543
722,29784271.9529303
723,30256616.3558676
724,31123163.2120893
725,31684489.1240694
726,31813961.6563514
727,31855097.0146783
728,31917740.3670252
729,31997925.9441786
730,32008046.4113027
731,32114328.2909384
732,32194153.1944443
733,32308084.9969912
734,32588128.9875286
735,32600446.2631035
736,32723959.9304571
737,32935034.4952004
738,33321451.1085803
739,33783480.4343272
740,34429724.9112695
741,34566420.0882879
742,35384429.1443586
743,35413067.8927243
744,35567692.8143649
745,35748042.289881
746,35903123.4674512
747,36057615.8312586
748,36132438.3284993
749,37145067.1221008
750,37590317.301078
751,37832250.0898158
752,37857708.0560214
753,38245482.873691
754,38423277.487336
755,38617210.0757083
756,38674086.5734553
757,39003389.2309027
758,39331195.5989469
759,39762215.0163845
760,40180250.0246369
761,40311912.5844306
762,40393253.8777908
763,40486093.6533085
764,40712309.1951199
765,40794179.1238696
766,40873251.2597993
767,40957025.2944784
768,41501555.3085301
769,41712453.9276657
770,41979185.0022562
771,42307342.9661558
772,42676171.2918215
773,42726275.0561684
774,43492473.5128954
775,43575226.9945509
776,43609291.292871
777,43732695.0942798
778,43910656.6162488
779,44231359.8019639
780,44656587.8022098
781,45187286.0219523
782,46468993.4472065
783,46697512.0632567
784,46755228.4881928
785,46818968.6493982
786,47272128.7595098
787,47394038.2111534
788,48351764.6564055
789,49190529.3876057
790,49220804.6950181
791,49411499.8772805
792,49416198.1793941
793,49524104.3577463
794,49708146.5977776
795,49780158.1899596
796,50540141.2859428
797,50931326.197791
798,51282225.8754205
799,51351373.5551246
800,51842662.0211166
801,52150996.165441
802,52610852.446237
803,52805853.5431448
804,52909374.2587245
805,52951858.6713418
806,53589336.3948676
807,53690889.0534926
808,53930089.7273137
809,53978082.5489605
810,54289392.5673607
811,54533668.8840346
812,54662441.5673261
813,54898459.2825473
814,55022790.4486409
815,55425816.4322644
816,55478505.0362345
817,55567214.6139656
818,56415472.6525858
819,57116725.0891096
820,57146876.1434373
821,57177988.2561121
822,57189484.2914145
823,57309745.9115812
824,57411896.3201268
825,57412426.0267116
826,57605290.0287918
827,57915216.7908569
828,57941955.8655562
829,57995783.1781929
830,58271149.519767
831,58660734.5458814
832,58810636.5407122
833,58812928.4722659
834,59221679.9093262
835,59291654.7182285
836,59327878.1017867
837,59339532.254253
838,59417461.6264491
839,59595443.2108372
840,61133520.8673937
841,61565745.5764562
842,63166103.8411734
843,63748345.2128714
844,64587177.5402373
845,64610208.4034295
846,65464429.1629071
847,65723104.586336
848,65944659.3931363
849,66160781.2662218
850,66432951.0152059
851,67940152.9006948
852,68432635.4757128
853,70087570.9288882
854,70112608.9481225
855,71693127.9753926
856,71745554.054147
857,72768508.6899626
858,73912050.159317
859,75369078.7960539
860,76055017.2757037
861,76574846.2423719
862,78557530.3743647
863,79000092.2266153
864,79940279.0407392
865,80382651.2404684
