Eigenvalue_Index,Algebraic_Eigenvalue
1,-3.85486962668996e+15
2,-3.85486962668995e+15
3,-3.71483843411195e+15
4,-3.71483843411194e+15
5,-3.49370295191038e+15
6,-3.49370295191038e+15
7,-3.20874707783965e+15
8,-3.20874707783965e+15
9,-3.01961512034338e+15
10,-3.01961512034337e+15
11,-2.93177029178478e+15
12,-2.93177029178477e+15
13,-2.88208462703748e+15
14,-2.88208462703748e+15
15,-2.79349746841046e+15
16,-2.79349746841046e+15
17,-2.61631360917448e+15
18,-2.61631360917448e+15
19,-2.53882826146445e+15
20,-2.53882826146445e+15
21,-2.41501821773952e+15
22,-2.41501821773952e+15
23,-2.20646865809026e+15
24,-2.20646865809026e+15
25,-2.20522761092827e+15
26,-2.20522761092827e+15
27,-2.00811963580562e+15
28,-2.00811963580562e+15
29,-1.90778184506425e+15
30,-1.90778184506425e+15
31,-1.83637620085076e+15
32,-1.83637620085076e+15
33,-1.7048512066555e+15
34,-1.7048512066555e+15
35,-1.67766268591764e+15
36,-1.67766268591764e+15
37,-1.62287801150256e+15
38,-1.62287801150256e+15
39,-1.28004462545114e+15
40,-1.28004462545114e+15
41,-1.27650720602123e+15
42,-1.27650720602123e+15
43,-821664231234563
44,-821664231234562
45,-799113086209862
46,-799113086209860
47,-798206618932593
48,-798206618932593
49,-796740366208321
50,-796740366208320
51,-794788802697543
52,-794788802697543
53,-792469285236495
54,-792469285236494
55,-789948697142232
56,-789948697142231
57,-787440807763548
58,-787440807763548
59,-785186035339400
60,-785186035339399
61,-783411553589253
62,-783411553589252
63,-782286792113548
64,-782286792113547
65,-771545259406396
66,-771545259406396
67,-716009792450676
68,-716009792450674
69,-667324941684825
70,-667324941684824
71,-662850703143775
72,-662850703143774
73,-662846161364660
74,-662846161364660
75,-648723738470478
76,-648723738470478
77,-635476654100331
78,-635476654100330
79,-619463977709922
80,-619463977709921
81,-614587669586255
82,-614587669586254
83,-594508596391448
84,-594508596391447
85,-582025535402481
86,-582025535402481
87,-579351455830172
88,-579351455830172
89,-578769182747143
90,-578769182747142
91,-577765931425687
92,-577765931425687
93,-576304572117162
94,-576304572117161
95,-574359909201367
96,-574359909201367
97,-573032417300318
98,-573032417300318
99,-572113617772890
100,-572113617772890
101,-568517250144913
102,-568517250144913
103,-565936490813003
104,-565936490813002
105,-563786376521530
106,-563786376521529
107,-543224835603600
108,-543224835603600
109,-540223824236717
110,-540223824236716
111,-539630013572516
112,-539630013572515
113,-518599640233559
114,-518599640233559
115,-496032298215487
116,-496032298215486
117,-488073861869426
118,-488073861869426
119,-455303402984905
120,-455303402984904
121,-446378009708678
122,-446378009708678
123,-446368405979994
124,-446368405979993
125,-432244599208864
126,-432244599208863
127,-421646596809456
128,-421646596809456
129,-399152863059984
130,-399152863059982
131,-388282346094054
132,-388282346094053
133,-380497469485894
134,-380497469485893
135,-380400119990662
136,-380400119990662
137,-368378776158682
138,-368378776158681
139,-353091505206001
140,-353091505206001
141,-339843107629574
142,-339843107629573
143,-337242785769519
144,-337242785769519
145,-336074664256557
146,-336074664256557
147,-334171518043621
148,-334171518043621
149,-318919115542604
150,-318919115542603
151,-306681347220926
152,-306681347220926
153,-303256620806747
154,-303256620806746
155,-290648041285317
156,-290648041285317
157,-282743196483855
158,-282743196483855
159,-282443573807335
160,-282443573807335
161,-281481489870004
162,-281481489870004
163,-281481489870004
164,-281481489870003
165,-281481489870003
166,-281481489870003
167,-281481489870003
168,-281481489870003
169,-281481489870002
170,-281481489870002
171,-281481489870002
172,-281481489870002
173,-281481489870001
174,-281481489870001
175,-281481489870001
176,-281481489870001
177,-281481489870000
178,-281481489870000
179,-281481489870000
180,-281481489869999
181,-281000523972907
182,-281000523972907
183,-278533243205838
184,-278533243205838
185,-275682139347949
186,-275682139347948
187,-272659810145342
188,-272659810145342
189,-269621209742935
190,-269621209742935
191,-266769527030145
192,-266769527030144
193,-264394645621024
194,-264394645621024
195,-262811928400394
196,-262811928400393
197,-247486482812278
198,-247486482812278
199,-247485696349105
200,-247485696349104
201,-206316331985338
202,-206316331985338
203,-206296326860362
204,-206296326860361
205,-164134229877243
206,-164134229877243
207,-164134226276225
208,-164134226276225
209,-150901179349316
210,-150901179349316
211,-150901173521418
212,-150901173521418
213,-1605641863651.28
214,-1605641862214.66
215,-1589739006051.08
216,-1589739004745.37
217,-1564673526995.56
218,-1564673525879.83
219,-1531621749424.14
220,-1531621748526.09
221,-1491945654823.05
222,-1491945654141.33
223,-1448022735879
224,-1448022735391.11
225,-1403940100984.04
226,-1403940100655.34
227,-1365469839481.22
228,-1365469839271.06
229,-1338975748960.84
230,-1338975748824.52
231,-732153791545.82
232,-732153791097.736
233,-732116513134.879
234,-732116512690.606
235,-685733302007.982
236,-685733299958.136
237,-650756408645.627
238,-650756406630.261
239,-605893106731.484
240,-605893104805.209
241,-561690821400.505
242,-561690819649.728
243,-524455646454.892
244,-524455644960.198
245,-496485429489.57
246,-496485428287.473
247,-494989428811.727
248,-494989428808.674
249,-491316393912.064
250,-491316393900.605
251,-485236646522.248
252,-485236646481.971
253,-477463129005.722
