Eigenvalue_Index,Algebraic_Eigenvalue
1,-0.000325256061842083
2,6425476.74039279
3,6425476.75339991
4,6518932.40295158
5,6518932.42076647
6,6723014.7124929
7,6723014.94603176
8,6993623.04918129
9,6993623.24827492
10,7983822.36708263
11,7983822.39093876
12,8125124.51079034
13,8125124.53739679
14,8541265.41643222
15,8541265.83965485
16,9034400.80425136
17,9034401.36004741
18,9611136.64517546
19,9611480.70813007
20,9613579.95549144
21,9615432.20418147
22,9626374.56900721
23,9646122.14279557
24,9673123.79332521
25,9700304.84492516
26,9762082.04126569
27,9762358.13978974
28,10146775.8797088
29,10184159.8423686
30,10184171.8773671
31,10187138.8497805
32,10257932.2009991
33,10361392.5006871
34,10462636.1639353
35,10471123.783004
36,10486012.991843
37,10497044.5593061
38,10508598.2061239
39,10540555.4116925
40,10562801.3984135
41,10562801.4435143
42,10582693.0896819
43,10621533.2723328
44,10625163.0744624
45,10631887.8422128
46,10631977.4790829
47,10643142.8843503
48,10660014.8549239
49,10660636.4102883
50,10676337.7393478
51,10683112.5280277
52,10710069.2046
53,10733592.7498126
54,10844362.5017763
55,11038029.4313003
56,11140883.8134174
57,11140932.4687708
58,11193560.8452049
59,11231576.1015489
60,11231580.5768842
61,11293766.6101371
62,11366960.9816829
63,11423908.1795744
64,11437196.2987919
65,11489357.0917783
66,11502635.0451113
67,11502713.5779805
68,11506221.8062653
69,11513893.6835682
70,11529476.3269664
71,11555722.7346083
72,11594086.2060545
73,11619184.1275633
74,11642843.9924787
75,11694747.0844083
76,11705606.0176609
77,11736272.7972566
78,11826636.8077323
79,12080945.1860625
80,12105103.0033248
81,12402882.6885596
82,12523867.5891878
83,12609364.9790205
84,12621745.0212934
85,12671392.0381784
86,12711594.8019716
87,12747119.7231314
88,12822593.3319296
89,12856530.1697213
90,12886439.8287225
91,12904601.6221591
92,12932654.0329448
93,12939294.1357972
94,12960143.2237424
95,12962761.0950186
96,12972509.8232128
97,12990660.1284661
98,12991186.5200942
99,12996751.3394823
100,13003369.4624626
101,13016403.4933742
102,13052091.8507923
103,13059776.9285176
104,13064518.1442283
105,13074430.1755043
106,13081423.8717892
107,13112344.8639541
108,13115668.9067105
109,13126920.152117
110,13188428.5500326
111,13216616.8321006
112,13222693.9147551
113,13258491.6906805
114,13285339.0031018
115,13324977.4582246
116,13342510.5818323
117,13360763.555145
118,13422150.7499308
119,13440739.3682563
120,13508138.5900871
121,13545551.0248822
122,13549333.8020635
123,13570755.6045312
124,13802145.6194259
125,14135959.2159669
126,14174761.5967456
127,14174764.508173
128,14356499.1755468
129,14792476.6132448
130,14939161.4650693
131,15304288.6527848
132,15367601.331194
133,15602602.790991
134,15628309.7701575
