Eigenvalue_Index,Algebraic_Eigenvalue
1,-2.6375423607363e+15
2,-2.63754236073629e+15
3,-2.5417315452726e+15
4,-2.54173154527259e+15
5,-2.39042832140846e+15
6,-2.39042832140845e+15
7,-2.19545851384997e+15
8,-2.19545851384995e+15
9,-2.06605243906846e+15
10,-2.06605243906846e+15
11,-2.00594808324583e+15
12,-2.00594808324583e+15
13,-1.9719526275948e+15
14,-1.97195262759479e+15
15,-1.91134036287452e+15
16,-1.91134036287451e+15
17,-1.79010930243356e+15
18,-1.79010930243356e+15
19,-1.73709301018458e+15
20,-1.73709301018458e+15
21,-1.65238087802319e+15
22,-1.65238087802319e+15
23,-1.50968907542046e+15
24,-1.50968907542045e+15
25,-1.50883993451189e+15
26,-1.50883993451189e+15
27,-1.37397658779662e+15
28,-1.37397658779662e+15
29,-1.3053244112179e+15
30,-1.3053244112179e+15
31,-1.25646792289888e+15
32,-1.25646792289888e+15
33,-1.16647713822989e+15
34,-1.16647713822989e+15
35,-1.14787446043206e+15
36,-1.14787446043206e+15
37,-1.11039021571826e+15
38,-1.11039021571825e+15
39,-875820001132833
40,-875820001132832
41,-873399661421033
42,-873399661421030
43,-562191313356907
44,-562191313356906
45,-546761581925017
46,-546761581925016
47,-546141367474569
48,-546141367474568
49,-545138141930472
50,-545138141930472
51,-543802861639392
52,-543802861639390
53,-542215823383866
54,-542215823383866
55,-540491210485652
56,-540491210485651
57,-538775286182564
58,-538775286182564
59,-537232547163295
60,-537232547163295
61,-536018428076846
62,-536018428076845
63,-535248854438925
64,-535248854438925
65,-527899384827759
66,-527899384827758
67,-489901433420961
68,-489901433420959
69,-456590746629518
70,-456590746629517
71,-453529424759389
72,-453529424759389
73,-453526317182513
74,-453526317182512
75,-443863607562354
76,-443863607562352
77,-434799812248536
78,-434799812248535
79,-423843771210908
80,-423843771210907
81,-420507348957147
82,-420507348957146
83,-406769035681722
84,-406769035681722
85,-398227994839685
86,-398227994839685
87,-396398356446623
88,-396398356446623
89,-395999959020561
90,-395999959020561
91,-395313523813524
92,-395313523813523
93,-394313646252822
94,-394313646252822
95,-392983087222016
96,-392983087222015
97,-392074807796322
98,-392074807796321
99,-391446150663755
100,-391446150663754
101,-388985478381339
102,-388985478381338
103,-387219695208414
104,-387219695208413
105,-385748564168068
106,-385748564168068
107,-371680147233178
108,-371680147233178
109,-369626822975292
110,-369626822975292
111,-369220532467533
112,-369220532467533
113,-354831328589127
114,-354831328589126
115,-339390516620519
116,-339390516620519
117,-333945270287241
118,-333945270287241
119,-311523377695317
120,-311523377695316
121,-305416529301238
122,-305416529301238
123,-305409958328544
124,-305409958328544
125,-295746300971380
126,-295746300971380
127,-288495036544930
128,-288495036544929
129,-273104587069351
130,-273104587069351
131,-265666864877390
132,-265666864877390
133,-260340370393024
134,-260340370393023
135,-260273762419804
136,-260273762419804
137,-252048632910173
138,-252048632910172
139,-241588921276042
140,-241588921276042
141,-232524226555099
142,-232524226555098
143,-230745058300924
144,-230745058300924
145,-229945819650271
146,-229945819650271
147,-228643665552696
148,-228643665552696
149,-218207812710401
150,-218207812710400
151,-209834601850590
152,-209834601850590
153,-207491369009862
154,-207491369009862
155,-198864446230538
156,-198864446230538
157,-193455867179879
158,-193455867179879
159,-193250863251266
160,-193250863251266
161,-192592595225001
162,-192592595225001
163,-192592595225001
164,-192592595225001
165,-192592595225001
166,-192592595225001
167,-192592595225001
168,-192592595225001
169,-192592595225001
170,-192592595225001
171,-192592595225001
172,-192592595225001
173,-192592595225000
174,-192592595225000
175,-192592595225000
176,-192592595225000
177,-192592595225000
178,-192592595225000
179,-192592595225000
180,-192592595225000
181,-192263512286446
182,-192263512286446
183,-190575372788580
184,-190575372788580
185,-188624617486908
186,-188624617486908
187,-186556707999520
188,-186556707999519
189,-184477665584933
190,-184477665584933
191,-182526514221715
192,-182526514221714
193,-180901595332886
194,-180901595332886
195,-179818683528623
196,-179818683528623
197,-169332854872474
198,-169332854872474
199,-169332316766035
200,-169332316766035
201,-141163803792124
202,-141163803792124
203,-141150116073202
204,-141150116073202
205,-112302366158816
206,-112302366158815
207,-112302363694961
208,-112302363694961
209,-103248173029999
210,-103248173029999
211,-103248169042490
212,-103248169042490
213,-1098572515558.36
214,-1098572513458.75
215,-1087692642813.98
216,-1087692640905.69
217,-1070544104087.28
218,-1070544102456.66
219,-1047931556742.25
220,-1047931555429.76
221,-1020786696648.8
222,-1020786695652.47
223,-990736061055.281
224,-990736060342.228
225,-960575941978.52
226,-960575941498.111
227,-934255525819.677
228,-934255525512.533
229,-916128862669.049
230,-916128862469.803
231,-500938199438.889
232,-500938198784.087
233,-500912714414.662
234,-500912713765.38
235,-469169481907.133
236,-469169478911.987
237,-445238009822.045
238,-445238006877.303
239,-414542228025.68
240,-414542225211.113
241,-384298902438.234
242,-384298899880.103
243,-358822775154.057
244,-358822772970.067
245,-339686042228.319
246,-339686040471.821
247,-338667407374.519
248,-338667407370.056
249,-336154118813.653
250,-336154118796.908
251,-331994050003.494
252,-331994049944.634
253,-326671675557.286
254,-326671674192.102
255,-326332191472.474
256,-326332191345.169
257,-319517130386.918
258,-319517130164.572
259,-318710993043.541
260,-318710991971.302
261,-314612923420.483
262,-314612922528.344
263,-312160136277.854
264,-312160135942.325
265,-305116740868.862
266,-305116740419.491
267,-299331447608.268
268,-299331447065.502
269,-295578346569.05
270,-295578345968.156
271,-228890858294.952
272,-228890858199.773
273,-225977078705.477
274,-225977078650.473
275,-222263296043.642
276,-222263296034.523
277,-218629833892.692
278,-218629833803.14
279,-217826419524.158
280,-217826415353.564
281,-217826363670.995
282,-217826359499.248
283,-215515990870.096
284,-215515990698.853
285,-213585464498.141
286,-213585456746.743
287,-212974549649.957
288,-212974549417.066
289,-212958442834.481
290,-212958436085.37
291,-211560775188.134
292,-211560769725.057
293,-210957055105.259
294,-210957054842.573
295,-209656470730.413
296,-209656470437.794
297,-209171526250.07
298,-209171521964.492
299,-209085996288.823
300,-209085995964.941
301,-208627556696.627
302,-208627556391.934
303,-205955703069.02
304,-205955699682.323
305,-202505067142.409
306,-202505064396.816
307,-199559571492.889
308,-199559569186.555
309,-197657588934.373
310,-197657586893.459
311,-158494017004.04
312,-158494013898.243
313,-158494006623.4
314,-158494003517.597
315,-151676362323.48
316,-151676362039.164
317,-151676332818.279
318,-151676332533.96
319,-23475584559.4122
320,-23475584559.3944
321,-22775422723.7089
322,-22775422723.6991
323,-21668565980.6625
324,-21668565980.6567
325,-20239105636.8156
326,-20239105636.8025
327,-18593009885.4012
328,-18593009885.3458
329,-16847122734.878
330,-16847122734.8628
331,-15116497102.868
332,-15116497102.8379
333,-13502923951.7579
334,-13502923951.7247
335,-12098546798.6497
336,-12098546798.6198
337,-10180979475.818
338,-10180979475.7941
339,-9961675974.03782
340,-9961675974.01445
341,-8748290888.67493
342,-8748290888.65865
343,-8084903584.57697
344,-8084903584.56581
345,-7530130312.69056
346,-7530130312.64616
347,-7076575957.57759
348,-7076575957.50316
349,-6714132190.01048
350,-6714132189.90524
351,-6436486219.88818
352,-6436486219.78799
353,-6240178425.80553
354,-6240178425.72136
355,-6123200542.65184
356,-6123200542.6077
357,-5661256708.1061
358,-5661256702.25397
359,-5657789597.16086
360,-5657789592.37274
361,-5652244137.27497
362,-5652244133.87348
363,-5644981632.59019
364,-5644981630.51513
365,-5636521374.16257
366,-5636521373.08142
367,-5627530770.86508
368,-5627530770.37725
369,-5618782191.57076
370,-5618782191.374
371,-5611066568.28817
372,-5611066568.20898
373,-5605076730.29809
374,-5605076730.2529
375,-5601307042.87541
376,-5601307042.861
377,-4932001766.00141
378,-4932001765.85722
379,-4932001762.01381
380,-4932001761.86953
381,-2629394135.78857
382,-2629394135.632
383,-2612455451.33562
384,-2612455451.12773
385,-2578641064.6989
386,-2578641064.46576
387,-2554700987.12373
388,-2554700984.95293
389,-2523805449.72286
390,-2523805449.49379
391,-2517945730.49498
392,-2517945728.22468
393,-2460558495.35767
394,-2460558492.64504
395,-2447233479.37246
396,-2447233479.15896
397,-2387944557.96507
398,-2387944554.21264
399,-2352913472.70188
400,-2352913472.49848
401,-2306950235.79671
402,-2306950230.28526
403,-2249805125.93751
404,-2249805125.73497
405,-2225284902.93673
406,-2225284895.04948
407,-2152202382.88461
408,-2152202382.6759
409,-2150890983.92367
410,-2150890973.37792
411,-2091255388.9321
412,-2091255375.93389
413,-2079698433.91571
414,-2079698433.69302
415,-2052640417.0197
416,-2052640402.28827
417,-1218319113.80489
418,-1218319112.7574
419,-1218315135.83835
420,-1218315134.79102
421,-1140387106.43821
422,-1140387105.76057
423,-1140387100.10869
424,-1140387099.43117
425,-0.000325688663565415
426,4957071.48607446
427,4957071.51434039
428,5055530.68674161
429,5055530.69389347
430,5269061.2845684
431,5269061.51449946
432,5560127.90710934
433,5560128.09009035
434,6642803.0055372
435,6642803.03198568
436,6774064.27438341
437,6774064.30000682
438,7252266.17217922
439,7252267.02334478
440,7472884.07946484
441,7472884.23006168
442,7661839.51376546
443,7661839.60869558
444,7676861.73566559
445,7684488.78631223
