Eigenvalue_Index,Algebraic_Eigenvalue
1,-1.01443936456761e+15
2,-1.01443936456761e+15
3,-977589051093924
4,-977589051093922
5,-919395503714554
6,-919395503714552
7,-844407116523870
8,-844407116523867
9,-794635549677495
10,-794635549677495
11,-771518489918966
12,-771518489918965
13,-758443314490383
14,-758443314490381
15,-735130905434560
16,-735130905434559
17,-688503574848665
18,-688503574848662
19,-668112692785977
20,-668112692785976
21,-635531104325588
22,-635531104325587
23,-580649642207826
24,-580649642207823
25,-580323048635489
26,-580323048635487
27,-528452531985889
28,-528452531985889
29,-502047847620915
30,-502047847620914
31,-483256891986294
32,-483256891986294
33,-448645051985293
34,-448645051985292
35,-441490174342513
36,-441490174342512
37,-427073158862027
38,-427073158862026
39,-336853844756060
40,-336853844756059
41,-335922944839880
42,-335922944839880
43,-216227427306470
44,-216227427306470
45,-210292915013330
46,-210292915013330
47,-210054370994677
48,-210054370994676
49,-209668515017439
50,-209668515017439
51,-209154945676482
52,-209154945676482
53,-208544546349653
54,-208544546349653
55,-207881233699024
56,-207881233699024
57,-207221262815811
58,-207221262815811
59,-206627901656872
60,-206627901656872
61,-206160932779177
62,-206160932779177
63,-205864942919430
64,-205864942919430
65,-203038223913192
66,-203038223913191
67,-188423627134647
68,-188423627134646
69,-175611824601658
70,-175611824601658
71,-174434392971375
72,-174434392971374
73,-174433197755236
74,-174433197755236
75,-170716771114443
76,-170716771114443
77,-167230695852688
78,-167230695852688
79,-163016834055995
80,-163016834055995
81,-161733594551880
82,-161733594551880
83,-156449627877031
84,-156449627877031
85,-153164612373528
86,-153164612373528
87,-152460903906380
88,-152460903906380
89,-152307674112490
90,-152307674112490
91,-152043660546029
92,-152043660546029
93,-151659092215274
94,-151659092215274
95,-151147338688543
96,-151147338688543
97,-150798001768960
98,-150798001768960
99,-150556209153774
100,-150556209153774
101,-149609796832204
102,-149609796832203
103,-148930649324737
104,-148930649324737
105,-148364829636250
106,-148364829636250
107,-142953901706643
108,-142953901706643
109,-142164161431601
110,-142164161431600
111,-142007896073457
112,-142007896073457
113,-136473586651774
114,-136473586651773
115,-130534813049383
116,-130534813049383
117,-128440487449597
118,-128440487449597
119,-119816682684118
120,-119816682684118
121,-117467894767295
122,-117467894767295
123,-117465367469993
124,-117465367469993
125,-113748576143162
126,-113748576143161
127,-110959628382947
128,-110959628382947
129,-105040224726136
130,-105040224726136
131,-102179562341138
132,-102179562341138
133,-100130910627862
134,-100130910627862
135,-100105292050488
136,-100105292050488
137,-96941780844423.5
138,-96941780844423.5
139,-92918814853207.8
140,-92918814853207.6
141,-89432393339222.1
142,-89432393339222
143,-88748097671884.9
144,-88748097671884.5
145,-88440698867192.3
146,-88440698867192.2
