Eigenvalue_Index,Algebraic_Eigenvalue
1,-0.000326126360526313
2,5689434.42696295
3,5689434.45128062
4,5785884.27130752
5,5785884.2818338
6,5995064.93142033
7,5995065.16334043
8,6276442.97831812
9,6276443.16801267
10,7331300.09511126
11,7331300.12085338
12,7464551.44951586
13,7464551.4740787
14,7899270.37456971
15,7899270.91475414
16,8386705.49590473
17,8386706.3689642
18,8660830.23894408
19,8663402.27830022
20,8669503.35012891
21,8681239.22794878
22,8700529.11664069
23,8727965.90215426
24,8760899.78406959
25,8790926.51747442
26,8932442.35010679
27,8932503.66163653
28,9116823.08660918
29,9116830.23838071
30,9149039.70179049
31,9202583.03431785
32,9258955.0567956
33,9263879.79019296
34,9272545.68527724
35,9285892.98670647
36,9292831.73152194
37,9305397.30657868
38,9332320.26980971
39,9362203.01945855
40,9362203.14714659
41,9365290.85228643
42,9396121.74235395
43,9396793.46767214
44,9397385.37434394
45,9399013.74567073
46,9402658.87205082
47,9409594.1211752
48,9420694.67764643
49,9421084.39401393
50,9434971.5853716
51,9448139.35753646
52,9472014.94042467
53,9474168.96038939
54,9596794.97148123
55,9646623.35063015
56,9646623.4769483
57,9818595.32118934
58,10044864.4396565
59,10080806.6016569
60,10094125.5523395
61,10144221.2283373
62,10241026.0078023
63,10380436.5791367
64,10399054.2981755
65,10399989.139502
66,10406071.6760221
67,10415409.0569
68,10416809.1539153
69,10433948.0655389
70,10458332.5398155
71,10489019.7051752
72,10521768.4211474
73,10549090.2558972
74,10564792.2551909
75,10574303.0663015
76,10754747.2198787
77,10813609.1518106
78,10813824.5621697
79,10829708.6846681
80,11091037.6955914
81,11105875.0780602
82,11227886.7569771
83,11235013.9368766
84,11313353.8669164
85,11320692.4410596
86,11372095.0551885
87,11413450.7479546
88,11457271.421661
89,11478875.6634263
90,11487333.6986686
91,11508535.210213
92,11539648.7766284
93,11574475.3240017
94,11578982.4533767
95,11582117.9592715
96,11594425.8793322
97,11623938.9992585
98,11643128.3118895
99,11648761.9805284
100,11657929.0931073
101,11663912.5534693
102,11675124.5612359
103,11675341.305213
104,11681003.2402812
105,11684014.3496221
106,11692767.2207839
107,11714191.8253571
108,11718951.8870131
109,11736739.4453334
110,11819866.8504475
111,11825398.575605
112,11842652.5513878
113,11923654.6544243
114,11956270.0167501
115,11956765.6330021
116,12011906.5688607
117,12072992.6569109
118,12108750.3633422
119,12160522.0306779
120,12164099.6388901
121,12219614.7287549
122,12253298.620321
